query_id,answer
438,1909 4234 4308 4354 4286 4396 1901 4403 4387 1899
439,4440 4008 4375 2663 2968 4371 3128 2288 3595 2217
440,4219 4214 4395 2646 3026 4424 4396 4222 2962 4257
441,4219 4234 2646 4361 1909 4408 4308 4331 4010 4384
442,4219 4395 4214 4424 4235 2646 4301 4425 3026 4349
443,4219 2865 1966 2696 4400 4361 2646 3689 4308 3055
444,4451 4214 2698 4220 4447 4290 3314 4209 3861 4227
445,4234 4286 1951 4328 3088 3436 4308 3055 3689 1899
446,4423 4364 2408 4440 4232 4220 4012 4083 4327 4372
447,4219 1958 4387 4234 2646 4308 1966 4504 2865 4384
448,4400 4219 1966 4403 4408 4308 4234 4407 2646 2865
449,4219 4387 4400 1958 2646 4308 4234 4408 2944 3689
450,4219 2865 4366 4361 4234 2646 1966 3861 4302 3844
451,1951 4214 4234 4361 4308 3467 4320 4301 4009 3128
452,4219 2646 4234 4384 4308 3127 4408 3564 2962 4361
453,4440 3078 4389 4384 4310 4218 4219 2646 2220 4313
454,4445 4451 4219 4209 3995 4400 1918 2171 2203 4403
455,1951 4234 4361 4362 4045 4219 4214 4218 4286 4204
456,4361 4219 4234 4516 4208 4257 4322 3844 2646 3750
457,1951 4234 4308 4214 4286 2698 3467 4111 4328 1899
458,4321 4354 4433 4436 2918 4320 4243 4220 4364 4423
459,4423 4364 4372 4220 2908 2917 2909 4232 4318 4083
460,4219 2646 4361 2865 4234 4400 4308 1966 3689 4331
461,4219 4395 4214 2646 4424 4301 4235 3026 2665 2698
462,4234 4408 4451 2222 4433 4354 4308 2196 4321 4388
463,4219 4361 4384 3078 4440 2865 4389 2646 1966 4257
464,4406 4332 2696 2865 4219 4458 2646 4525 2962 3470
465,4219 1966 4408 4308 2646 4358 2865 4387 2408 4361
466,4371 4372 4335 3859 2706 4444 2893 4220 4269 2913
467,1951 4234 4214 4361 4219 4045 4403 4308 4204 4133
468,4243 4307 4008 2794 4433 4354 4440 4367 4287 2197
469,3595 4008 2794 2663 4440 3128 2695 2795 4375 4287
470,4400 4219 4387 4361 2964 1966 4308 4408 2646 4384
471,3580 4180 3467 2095 2097 4379 4373 4006 4276 4207
472,3993 4134 4354 4436 4266 4224 3580 4307 2895 4269
473,4440 4219 4384 3078 4350 2646 4313 4222 4361 4389
474,1951 4320 4234 4308 4219 3128 4532 4214 4361 4367
475,4440 4375 2220 4371 2696 2663 2968 3128 3078 4363
476,4440 2220 4276 4373 4375 4371 3128 2696 4207 4389
477,4440 2663 2968 3128 4375 2794 4008 4371 3552 4243
478,4219 1966 2865 2646 1958 4308 3567 4384 4509 4508
479,4328 4234 1909 4045 4396 1918 4362 4403 4407 1901
480,4219 2696 2865 3470 3078 4400 4313 4408 4308 1966
481,2948 4440 2895 4008 2795 4287 2663 3552 3595 2794
482,1901 1958 1951 2802 4219 4403 3660 1784 3932 2204
483,4396 4328 4286 4219 4400 1907 4431 4367 1909 4234
484,4219 3078 4407 1966 2646 3470 4387 4389 2511 1958
485,4219 1966 2865 4400 4308 4532 4408 4234 4403 4361
486,4219 4308 4396 3088 4328 4234 4387 4046 1901 2646
487,4234 1909 4308 4400 4362 3149 4328 4396 1910 4045
488,1951 3467 4214 4234 3861 4320 4532 4321 4436 4133
489,4214 1951 4234 2665 2698 2646 4308 4219 4451 4227
490,4219 2646 4308 4384 4440 4361 4400 4331 4408 4234
491,4219 4395 2646 4214 4424 4389 4409 4302 4384 4222
492,4219 2646 4387 1958 4384 1966 4504 3470 4408 4400
493,4440 4287 4269 4266 2663 4203 3128 3482 4363 2661
494,4234 4214 2698 4308 1951 4227 4354 4433 4219 4451
495,4423 4364 4232 4220 4372 2937 4377 4207 2941 4371
496,4234 2646 4219 4361 1909 4331 3088 4308 4531 4406
497,4219 4395 2944 2521 4214 3843 4424 2646 2696 4235
498,4219 2865 4400 4408 2646 4234 4308 4361 4440 4387
499,4214 2698 4354 4433 4045 2196 2942 2217 4234 4290
500,4234 2196 4214 4050 4433 4362 4235 4153 4045 4301
